experiment,research_question_and_contrast,inventory_and_estimand,inclusion_failure_rule,evidence_status,supported_claim_and_boundary
v3 package comparison,Does the complete Lifecycle-Gated controller outperform Generic Structured Ledger?,"160 tasks, 20 pre-specified language-template analysis clusters; Qwen primary and GLM replication; E2E and cluster-bootstrap difference",Complete inventory; final API/parse failures are incorrect; no task deletion,primary/frozen,"Estimates the complete controller-package effect. It does not isolate mode, typing, pre-refresh timing, or gating."
v3 component addenda,Which package components explain the contrast?,"Same v3 inventory; validity-only gate, Lifecycle-free, mode-only, untyped plan, and exact historical CTA",Each addendum uses its frozen protocol; zero-API derived cells and new-call cells remain distinct,post-primary replication/audit; frozen before each addendum's own calls,Associates the gain with an executable discourse-sensitive transition decision; cannot be relabeled as primary causal decomposition.
Crossed domain--template sensitivity,Does the primary interval depend on clustering only by language template?,"Complete $8\times20$ primary inventory; paired Lifecycle-Gated minus Generic E2E; template, domain, and two-way pigeonhole bootstrap","Exact task and metadata matching; 10,000 draws, seed 20260725",post-primary replication/audit; zero API,Widest intervals remain above zero for Qwen and GLM. This does not repair package-level causal attribution or authored-language dependence.
Call/information-matched authorization ablation,"Does showing the same compiler decision to a call-matched actor reduce changed-pair errors, and what does enforcing that compiler output change?","Frozen 40-pair Flip inventory; one shared compiler and two matched actor calls per task; target PairAcc, conditional substitution, repair, and harm",Both model health gates and 80-row full runs completed; every API/parse failure remains in ITT; enforcement sees compiler output but no gold mode,post-primary replication/audit; Qwen and GLM complete,"Decision visibility improves PairAcc and reduces Preserve substitution for both models, but hard enforcement harms Qwen more often than it repairs it and changes no GLM target. This supports executable timing information, not a unique architecture or uniformly beneficial gate."
Complete-diagnostic matched-call revision audit,Does decision visibility help under equal calls across the full 160-row diagnostic rather than only Flip?,"Frozen 160 rows/80 pairs; 32 actionable changed pairs, 128 actionable rows, and 32 Reject-policy rows reported separately",Qwen/GLM smoke and full runs complete; all 960 logical calls completed without retry or final failure; ITT retains every row,post-primary replication/audit; protocol frozen before own calls,Decision visibility raises changed PairAcc 5/32 to 13/32 Qwen and 8/32 to 25/32 GLM; Reject remains a separate policy slice.
Decision-block stratification,"Does the visible block add new interface values, and how do gains vary with compiler correctness?","Nine frozen matched inventories, 760 records; authored rows stratified by mode and Preserve-ID correctness; existing v7 40-pair end-to-end boundary",Exact copies required for redundancy counts; repairs and harms use task-matched actors; compiler strata are post-treatment,post-primary replication/audit; zero API,Initial-ID and selector values are redundant in 760/760 records. Visibility is associated with gains when compiler outputs are correct and can propagate wrong outputs. No mediation or component-causal claim.
Human-rewrite matched-call revision audit,Does the equal-call contrast transfer to the 50 existing volunteer rewrites?,"Frozen 50 rows; 48 determinate human majorities, 41 actionable majorities, three complete actionable changed pairs",Existing human labels only; Qwen/GLM full runs complete with no retry or final failure,post-primary replication/audit; protocol frozen before own calls,"GLM improves actionable E2E 31/40 to 39/40; Qwen is unchanged at 30/40. Three complete changed pairs are a small-sample sensitivity, not open-language validation."
Three-source matched-call revision audit,Does the equal-call contrast persist on source-derived states and schemas?,"Frozen 30 changed pairs: ten each from STATE-Bench, AgentDojo, and ToolSandbox; Qwen/GLM plus DeepSeek replication","All three smoke/full matrices complete; 540 logical calls, no retry or final failure",post-primary replication/audit; protocol frozen before own calls,"PairAcc changes 12/30 to 13/30 Qwen, 11/30 to 20/30 GLM, and 19/30 to 22/30 DeepSeek; only GLM E2E excludes zero. Controlled contrast, not native behavior or prevalence."
Frozen Rule* source-grounded transfer,Does authored-template Rule* transfer unchanged to the 30 three-source pairs?,60 rows/30 pairs; exact target and PairAcc by source,Rule source and task inventory hash-frozen before zero-API application; no vocabulary or parser repair,post-hoc; frozen before this application,15/60 rows and 2/30 PairAcc. This limits Rule* transfer but does not establish learned-method superiority.
Public-audit injected sensitivity,Does the deterministic checklist implementation recognize known strict controls and reject one-feature-missing controls?,"Six suites; five positives and five hard negatives each, 60 controls total",Known-label schema-shaped controls; no natural-unit relabeling,post-primary replication/audit; zero API,30/30 positives recovered and 30/30 hard negatives excluded. Implementation check only; not natural recall calibration or evidence of systematic benchmark undercoverage.
Model-authored linguistic stress test,"Does the contrast survive prose generated without the original instructions, template inventory, Rule* cues, or controller outputs?","Frozen 24-domain semantic inventory; 48 all-actionable rows and 24 opposite-gold pairs; DeepSeek authoring, two model judges, Qwen/GLM Generic and CTA, frozen Rule*","All authoring, judge, and controller smoke/full stages completed; all rows remain in ITT; invalid all-zero normalization report retained and exact-ID zero-request repair disclosed",post-primary replication/audit; transport repair frozen after invalid v1 aggregate,"Generic/CTA PairAcc is 0/12 of 24 pairs for both models and Generic Preserve substitution is 24/24 Qwen, 20/24 GLM versus CTA 0/12. However, two model judges jointly accept 11/48 rows and no complete pair, so the audit is inconclusive for open-language transfer and cannot replace independent writers or annotators."
v7 core replication,Does conditional refreshed-winner substitution recur on new states and schemas?,"240 tasks, 10 new schemas, 40 state clusters; Qwen, GLM, DeepSeek; E2E, changed PairAcc, and conditional substitution","Conditional denominator requires correct observable initial ID, completed refresh, surviving action-valid old target, and a distinct refreshed winner; ITT for E2E",post-primary replication/audit; frozen before calls,"Supports model- and controller-conditional substitution in the controlled interface, not natural prevalence."
PairAcc / identifiability / shared eligibility,"Do aggregate, Stable, or one-sided scores identify selective authorization?","Frozen v3/v7 outputs; changed PairAcc, marginal scores, and same-task Generic/CTA eligibility",Missing/API/parse/protocol rows are incorrect; shared denominator requires both controllers to bind correctly,post-primary replication/audit; zero API,Matched changed-winner PairAcc rejects both policy extremes. Shared eligibility removes controller-specific denominator selection only.
Evaluation-selection regret,Can a proxy evaluation license a worse tested policy?,Five dataset/model candidate sets from frozen outputs; all exact maximizers under four proxy regimes,"Corrected candidate sets include every reported Generic, CTA, and Lifecycle configuration plus two deterministic extremes; all ties retained",post-primary replication/audit; zero API; corrected 2026-07-23 after omitted Gated rows were found,Stable-only and one-sided proxies can license a zero-PairAcc maximizer. Aggregate E2E is PairAcc-optimal in all five complete sets; worst-case tie regret is not a prediction of actual developer choice.
40-task model-facing SQLite,Do model target decisions reach an actual mutation boundary?,"40 frozen tasks; Qwen and later GLM; final state, wrong write, invalid attempt, rejection, collateral change","Every query, refresh, proposal, mutation, and final diff is retained",Secondary frozen execution test; GLM is a later replication,"Stronger execution evidence: models issue tool mutations. It remains controller-orchestrated, not an autonomous external benchmark."
v7 deterministic SQLite replay,What database consequence follows from each frozen v7 target output?,Frozen Generic/CTA outputs; deterministic in-memory mutation,No new model calls; every source row is replayed and non-core writes remain visible,post-primary replication/audit; zero API,Verifies that observed core substitutions map to wrong-entity writes; not a new behavioral or external replication.
Matched full-history baselines,Is the finding confined to Generic ledger serialization?,240 v7 tasks; ordinary and final-step-aware history for three model families; CTA as matched comparison,"Full-history methods have no separately scorable pre-refresh ID, so their replacements are unconditional rather than conditional TRI",post-primary replication/audit; protocol frozen before its own calls,"Shows the result is not confined to one ledger, while Qwen aware history nearly ties CTA and causal mechanism remains unresolved."
Blind human construct validation,Do people recover the scalar Preserve/Reevaluate targets?,Three labels per 100 randomized original/rewrite items,"All responses retained; determinate, unanimous, Clarify, and Reject slices reported separately",post-primary replication/audit,Supports the scalar core. Weak Reject agreement prevents treating fallback policy as equally validated semantics.
Six-form human construct follow-up,Can five independent labels per item replicate the referent/execution distinction on 72 disjoint items?,31 complete submissions across six 12-item forms; frozen target 30 valid participants and five labels per item,11/31 pass the frozen assistance and technical-issue rules; valid counts A--F are 1/2/1/1/3/3; excluded responses retained only in sensitivities,post-primary audit; failed frozen eligibility gate,"The completed collection supplies descriptive recruitment and construct-boundary evidence but no fixed-rater TRI endpoint. Assistance-relaxed and all-primary analyses remain explicitly post-hoc/non-confirmatory; a prospectively amended, monitored recollection is required."
Human-rewrite model replication,Does the controller pattern survive volunteer rewriting?,50 volunteer rewrites; unchanged four controllers and two models,Dataset and prompts frozen before the first rewrite-model response; complete ITT inventory,post-primary replication/audit; frozen before own calls,"Supports transfer to adaptations of authored tasks, not independent natural-request elicitation or open-language generalization."
Deterministic Rule v2,Can a simple event-order rule solve much of the controlled task?,"v3, 50 rewrites, and v7; E2E and PairAcc",Built after inspecting Rule v1 failures; benchmark event vocabulary is disclosed,post-hoc,Limits algorithmic novelty and supports the separation principle; cannot establish unrestricted discourse generalization.
Rule*-hard residual audit,Do CTA or timing-aware full-history baselines retain an advantage on rows Rule* misses?,20 v7 rows missed by Rule*; ten Preserve and ten Reevaluate; frozen three-model outputs,Post-hoc selection on Rule* errors; zero complete matched pairs remain; row accuracy only,post-hoc; zero API,"Timing-reminder/CTA are 13/13 Qwen, 20/20 GLM, and 18/16 DeepSeek. No residual CTA advantage; selection prevents PairAcc or confirmatory inference."
Trigger/order and Rule--model overlap audit,"Can shallow cues predict the timing label, and do model errors occur on rows or pairs that Rule* solves?",V3 leave-template-out logistic; 31 determinate human-majority changed rewrites; complete v7 Rule* and nine frozen model/controller outputs,Fixed post-hoc cue lexicon; stable/tied/other-target human rows excluded from mode prediction; overlap uses the full v7 census rather than Rule-error selection,post-hoc; zero API,"Trigger and order models reach only 48.4% on human-majority changed rewrites versus a 61.3% majority baseline. Most History-only model-error pairs are Rule*-solvable, but Rule* itself transfers poorly to source-derived pairs. This is a construct diagnostic, not independent open-language evidence or a model mechanism."
24-task ToolSandbox-compatible pilot,Can the diagnosis appear on a stateful external-style tool substrate?,Custom 24-task intervention; post-hoc strict Preserve/Flip opportunity audit,"Correct compiled ID, present old target, changed winner, and no protocol error required",Strict audit is post-hoc,"Small positive bridge evidence only; not an official ToolSandbox score, confirmatory effect, or prevalence estimate."
96-task ToolSandbox-style extension,Does lower-intervention behavior reproduce the controlled mechanism?,Four paper-facing conditions: Qwen/GLM full history and matched Generic; opportunities 70/73/64/87,"Correct, timely, observable binding and completed refresh; upstream wrong writes remain separate",post-primary replication/audit,"All four have zero conditional substitutions; argues against universality, not against the controlled diagnosis."
Qwen state-observed sensitivity,What happens under an additional unmatched Qwen interface?,96 rows; 73 opportunities; 6 wrong writes; 13 prohibited-schema/process errors,"Retained as run, not pooled with the four matched conditions","post-primary replication/audit, exploratory/secondary",Transparency-only sensitivity evidence. It is not paper-facing evidence and does not strengthen the four-condition zero result.
Pinned public-suite coverage audits,Do the audited released tasks expose strict native opportunities?,"ToolSandbox 129 families, AppWorld 244 families, tau3 2,449 tasks and released traces",Checklist applied to pinned versions; near-matches and exclusions retained,"post-primary replication/audit; descriptive, zero API","Zero strict opportunities under the checklist in these versions. No independent recall estimate, other-benchmark claim, or prevalence inference."
External public-dataset structural audit,Do three additional released multi-turn corpora expose strict native opportunities or source-anchored workflow candidates?,"API-Bank 528 test units, BFCL 800 variants/200 clusters, and ToolTalk 50 dialogues; deterministic schema and event scan",Exhaustive pinned inventories; all retrieved candidates and exclusion reasons retained; semantic absence cannot become a strict positive,"post-primary replication/audit; descriptive, zero API","Finds zero strict native opportunities and 80 heuristic source-anchored candidate clusters across BFCL and ToolTalk. This is an author-built retrieval audit without recall calibration, not prevalence or behavioral evidence."
External public-candidate annotation,Do two model families label the 80 retrieved workflows as exposing the frozen source evidence?,"80 candidates x 2 models; 160 latest pairs, 145 valid and 15 failed/invalid; strict-positive union/intersection and source-eligible union/intersection",All 168 attempts retained; eight initial sandbox-DNS failures are superseded but counted; content/parse/schema failures are not retried; no missing pairs,post-primary replication/audit; model-assisted candidate annotation,"Strict-positive union/intersection is 0/0; source-eligible union/intersection is 25/1. This narrows the retrieval result but is not independent review, a verified native-opportunity result, behavior evidence, recall calibration, or prevalence."
Model-assisted public recall triage,Does a model-assisted candidate-label pass recover known controls and surface any strict natural public-suite candidate under the frozen checklist?,"72 natural candidate records and 60 injected controls across ToolSandbox, AppWorld, tau3, API-Bank, BFCL, and ToolTalk",Zero-API artifact run over existing records; all labels retained; controls are implementation checks,post-primary replication/audit; model-assisted engineering triage,"Labels 0/72 natural records as strict native opportunities, recovers 30/30 strict-positive controls, and excludes 30/30 hard-negative controls. This is candidate-label triage only, not independent review, recall calibration, prevalence, native-opportunity evidence, or behavioral evidence."
Source-anchored external transfer,Does the matched timing contrast transfer to independently released source states and tools?,20 clusters and 80 author-adapted tasks from pinned STATE-Bench and AgentDojo; 320 rows over two models and ordinary-history/execution-record conditions,ITT retains 14 parse failures; conditional rows require correct observable initial selection and a surviving action-valid old target; first smoke source-path failure is retained and repaired only by zero-request replay of serialized targets,post-primary replication/audit; frozen before calls,"Finds 2/64 Preserve/Changed refreshed-winner substitutions, both Qwen ordinary history in AgentDojo (2/7 vs 0/7 Stable), and zero in STATE-Bench. This is limited single-repository bridge evidence. The execution record has no stable advantage and is significantly worse for GLM aggregate accuracy; no native benchmark, prevalence, natural-traffic, or official-score claim."
Concurrent Binding Drift baseline adaptation,Do entity locking and LLM re-verification solve matched Preserve/Reevaluate pairs?,"Complete 240-row v7 actionable inventory; Entity Lock, GLM self-reverify author adaptation, frozen CTA, and post-hoc Rule*",Public source commit audited; adaptation protocol frozen before GLM full calls; all 240 rows complete; exact task IDs and interface difference retained,post-primary replication/audit; author adaptation,"Lock reaches 120/120 Preserve but 40/120 Reevaluate; self-reverify reaches 39/120 and 116/120; CTA reaches 110/120 and 116/120. This establishes complementary policy behavior, not an official reproduction or an information-matched performance comparison."
