claim_id,claim,evidence_status,dataset,calls_after_hypothesis,role,source_report,paper_location,boundary
v3_primary_e2e,The complete Lifecycle-Gated controller package improves the historical v3 aggregate E2E estimand,primary/frozen,v3,no,primary,reports/v3_qwen_language_cluster.json,main Historical primary comparison,"Package-level contrast; aggregate mixes actionable reference and author-specified reject policy"
opposite_policy_identifiability,Stable and one-sided scoring can reward opposite unconditional policies,post-primary replication/audit,v3 and v7,NA,main,reports/matched_pair_consistency.json,main Diagnostic Results,"Controlled inventories only; not a theorem about all benchmarks"
v7_conditional_substitution,Generic substitutes the refreshed winner after a correct observable initial binding,post-primary replication/audit,v7,no,main,reports/v7_identifiability_regimes_v1.json,main Diagnostic Results,"Model- and controller-conditional controlled diagnosis"
v7_shared_eligible,The Generic/CTA contrast remains on the same eligible tasks,post-primary replication/audit,v7,NA,main,reports/v7_shared_eligible_pairacc_v1.json,main Diagnostic Results,"Removes denominator selection only"
v7_wrong_write,Core substitutions become wrong-entity SQLite writes,post-primary replication/audit,v7,NA,main,reports/v7_write_audit.json;reports/v7_deepseek_write_audit_v1.json,main Diagnostic Results,"Deterministic replay of frozen outputs; not open-agent prevalence"
rule_v2,A benchmark-aware deterministic rule is competitive with learned probes,post-hoc,v3 rewrites and v7,NA,main,reports/deterministic_discourse_rule_v2.json,main Interventions and robustness,"Selected after v1 failure inspection; not open-language generalization"
binding_drift_boundary,Entity Lock and unconditional LLM re-verification solve complementary sides of matched Preserve/Reevaluate tasks,post-primary replication/audit,v7 actionable core,yes,main,reports/binding_drift_tri_glm_v7_full_v1.json,main Controller and Rule Analysis,"Author adaptation of a concurrent method; verifier inputs are not information-matched to CTA; no claim about the original initial-misbinding benchmark"
rule_hard_residual,CTA has no residual advantage over Timing-reminder on rows missed by Rule*,post-hoc,v7 Rule*-hard rows,NA,main,reports/rule_hard_residual_v1.json,main Controller and Rule Analysis,"Error-selected 20-row subset; zero complete pairs; descriptive row accuracy only"
human_construct,Human judgments support the scalar Preserve/Reevaluate core more than reject fallback,post-primary replication/audit,human validation,yes,secondary,human_validation/analysis.json,main Human validation,"Rewrites adapt authored tasks and are not independent elicitation"
external_positive,TRI occurs in a small benchmark-compatible ToolSandbox-style pilot,post-hoc,ToolSandbox-compatible pilot,yes,secondary,reports/toolsandbox_tri_pilot_conditional_audit_v1.json,supplement External Boundary Check,"Small selected custom inventory; no prevalence claim"
